NRIC,School,Programme,Gender,PCHI,Flat_Type,2014_Result,2015_Result,PSLE_Result
T0410118D,Normal Primary School,PASS,M,0.0,RENTAL,39.5,50.85,B
T0410146J,Normal Primary School,EXCEL,F,583.0,OWNED,36.1,30.74,D
T0410270I,Normal Primary School,EXCEL,M,416.0,OWNED,31.55,31.07,D
T0410766E,Normal Primary School,PASS,M,420.0,RENTAL,10.84,9.51,U
T0410971C,Kiasu Parents Primary School,EXCEL,M,864.0,OWNED,34.71,55.35,B
T0411306E,Kiasu Parents Primary School,EXCEL,F,776.0,OWNED,14.64,33.86,D
T0411405I,Play Hard Primary School,PASS,F,589.1208053691275,OWNED,32.45,16.95,E
T0412538Z,Play Hard Primary School,PASS,F,555.0,OWNED,17.54,17.85,U
T0412942B,Kiasu Parents Primary School,EXCEL,F,933.0,OWNED,35.06,57.07,B
T0413255A,Normal Primary School,PASS,F,589.1208053691275,OWNED,33.17,38.62,D
T0413356B,Play Hard Primary School,EXCEL,F,374.0,RENTAL,29.54,42.1,D
T0413377I,Kiasu Parents Primary School,PASS,M,647.0,OWNED,27.13,38.91,D
T0413411A,Kiasu Parents Primary School,PASS,F,558.0,OWNED,30.27,35.63,D
T0413520D,Normal Primary School,PASS,F,692.0,OWNED,30.09,26.72,D
T0413752H,Normal Primary School,PASS,F,727.0,OWNED,32.98,34.81,E
T0413933D,Normal Primary School,PASS,F,732.0,OWNED,17.61,18.19,U
T0414246A,Kiasu Parents Primary School,PASS,F,734.0,OWNED,30.55,45.76,D
T0414259G,Play Hard Primary School,PASS,F,716.0,OWNED,11.46,11.56,U
T0414627Z,Kiasu Parents Primary School,PASS,F,920.0,OWNED,40.95,38.99,D
T0414807D,Play Hard Primary School,PASS,F,859.0,OWNED,30.26,19.29,E
T0415057F,Normal Primary School,PASS,M,921.0,OWNED,31.58,26.67,D
T0415272I,Kiasu Parents Primary School,EXCEL,F,972.0,OWNED,35.21,33.76,D
T0415357J,Kiasu Parents Primary School,PASS,M,624.0,OWNED,47.98,31.09,D
T0415421C,Play Hard Primary School,EXCEL,M,677.0,OWNED,33.4,45.23,B
T0415425G,Play Hard Primary School,PASS,F,424.0,OWNED,14.38,8.21,E
T0415427J,Kiasu Parents Primary School,EXCEL,M,684.0,OWNED,45.54,42.78,C
T0415611B,Play Hard Primary School,PASS,F,720.0,OWNED,28.73,36.65,D
T0415879J,Normal Primary School,PASS,M,782.0,OWNED,14.95,80.7,A
T0416244J,Normal Primary School,PASS,M,589.1208053691275,OWNED,15.02,12.9,U
T0416699H,Normal Primary School,PASS,M,463.0,OWNED,34.07,30.94,D
T0417308A,Play Hard Primary School,EXCEL,M,872.0,OWNED,14.49,36.53,C
T0417488H,Normal Primary School,EXCEL,M,624.0,OWNED,22.81,36.31,D
T0417555I,Kiasu Parents Primary School,EXCEL,F,968.0,OWNED,26.9,22.2,E
T0417766G,Kiasu Parents Primary School,PASS,F,896.0,OWNED,48.24,50.83,B
T0417826I,Normal Primary School,PASS,F,754.0,OWNED,29.0,33.82,D
T0417909Z,Normal Primary School,EXCEL,F,134.0,RENTAL,21.76,38.94,D
T0418145F,Normal Primary School,PASS,F,699.0,OWNED,29.53,20.38,E
T0418916C,Play Hard Primary School,EXCEL,M,613.0,OWNED,23.78,16.37,E
T0419225G,Normal Primary School,PASS,M,642.0,OWNED,39.77,38.76,D
T0419425J,Kiasu Parents Primary School,PASS,M,768.0,OWNED,14.92,9.72,U
T0419761E,Normal Primary School,PASS,M,589.1208053691275,OWNED,41.86,39.21,D
T0419774B,Normal Primary School,PASS,M,488.0,OWNED,35.27,32.53,E
T0420016C,Kiasu Parents Primary School,PASS,F,705.0,OWNED,42.21,20.33,E
T0420131Z,Kiasu Parents Primary School,PASS,F,916.0,OWNED,45.62,41.09,D
T0420191I,Normal Primary School,PASS,F,460.0,OWNED,27.62,47.6,C
T0420303G,Play Hard Primary School,EXCEL,M,156.0,RENTAL,10.41,26.19,E
T0420377G,Kiasu Parents Primary School,PASS,M,607.0,OWNED,31.69,33.48,D
T0420568J,Normal Primary School,PASS,M,589.1208053691275,OWNED,43.86,29.24,D
T0420774I,Normal Primary School,PASS,M,926.0,OWNED,5.86,33.63,E
T0420994Z,Kiasu Parents Primary School,EXCEL,M,604.0,OWNED,43.04,57.78,B
T0421767C,Play Hard Primary School,EXCEL,F,212.0,RENTAL,14.97,25.25,E
T0421935A,Normal Primary School,PASS,F,980.0,OWNED,31.9,45.25,C
T0422487A,Kiasu Parents Primary School,PASS,M,631.0,OWNED,20.62,12.95,U
T0422854F,Kiasu Parents Primary School,EXCEL,M,713.0,OWNED,24.74,42.07,C
T0422907A,Normal Primary School,PASS,F,375.0,OWNED,36.75,81.96,A
T0423382I,Normal Primary School,PASS,M,511.0,OWNED,29.43,36.18,D
T0423730F,Play Hard Primary School,PASS,F,764.0,OWNED,25.21,25.19,E
T0423978H,Normal Primary School,PASS,M,945.0,OWNED,29.47,18.99,E
T0424028B,Kiasu Parents Primary School,PASS,F,832.0,OWNED,33.37,18.45,U
T0424303E,Kiasu Parents Primary School,EXCEL,F,783.0,OWNED,39.12,58.66,B
T0424374J,Kiasu Parents Primary School,EXCEL,F,589.1208053691275,OWNED,41.24,76.67,A
T0424618F,Normal Primary School,PASS,M,439.0,RENTAL,21.61,20.72,U
T0425099D,Normal Primary School,PASS,F,897.0,OWNED,19.18,27.49,E
T0425151C,Play Hard Primary School,PASS,M,446.0,OWNED,23.8,16.87,U
T0425811J,Normal Primary School,EXCEL,M,730.0,OWNED,22.44,45.01,D
T0425991G,Normal Primary School,PASS,M,589.1208053691275,OWNED,40.73,58.78,B
T0426117F,Normal Primary School,PASS,M,955.0,OWNED,30.45,48.46,C
T0426141D,Normal Primary School,PASS,F,871.0,OWNED,32.95,35.87,D
T0426231E,Play Hard Primary School,EXCEL,M,177.0,RENTAL,37.46,36.87,D
T0426234A,Normal Primary School,EXCEL,F,749.0,OWNED,14.91,45.19,D
T0426344D,Normal Primary School,PASS,M,362.0,OWNED,33.52,35.35,D
T0426482G,Normal Primary School,EXCEL,F,635.0,OWNED,42.93,76.95,A*
T0427757F,Play Hard Primary School,PASS,F,465.0,OWNED,8.71,6.24,U
T0428104D,Kiasu Parents Primary School,EXCEL,M,911.0,OWNED,39.59,44.36,D
T0428113E,Play Hard Primary School,EXCEL,F,376.0,RENTAL,17.85,41.3,D
T0428157C,Normal Primary School,PASS,F,223.0,RENTAL,33.6,18.56,E
T0428215J,Play Hard Primary School,PASS,F,647.0,OWNED,47.19,61.0,C
T0428266E,Play Hard Primary School,PASS,M,0.0,RENTAL,26.23,28.86,D
T0428433I,Normal Primary School,PASS,F,814.0,OWNED,24.33,26.4,D
T0428847J,Play Hard Primary School,PASS,M,780.0,OWNED,34.88,35.79,D
T0429239A,Play Hard Primary School,PASS,M,0.0,RENTAL,21.53,13.82,E
T0429947A,Play Hard Primary School,PASS,M,530.0,OWNED,36.39,49.63,C
T0430856B,Kiasu Parents Primary School,EXCEL,M,612.0,OWNED,30.05,19.12,E
T0431284Z,Normal Primary School,PASS,F,381.0,OWNED,28.76,33.99136363636362,
T0431346C,Play Hard Primary School,PASS,F,820.0,OWNED,11.55,16.66,E
T0432143Z,Normal Primary School,EXCEL,M,921.0,OWNED,33.26,55.43,B
T0432219A,Normal Primary School,PASS,F,629.0,OWNED,15.44,12.48,U
T0432267Z,Play Hard Primary School,PASS,M,371.0,OWNED,12.35,16.25,E
T0432586C,Play Hard Primary School,PASS,F,804.0,OWNED,34.29,17.4,E
T0432774H,Play Hard Primary School,EXCEL,F,988.0,OWNED,27.47,24.84,E
T0433179H,Kiasu Parents Primary School,PASS,F,919.0,OWNED,37.27,39.06,D
T0433483G,Normal Primary School,PASS,M,311.0,RENTAL,33.67,29.95,D
T0433605J,Play Hard Primary School,PASS,M,689.0,OWNED,2.0,33.99136363636362,
T0433822G,Normal Primary School,PASS,M,713.0,OWNED,33.62,28.82,D
T0433867E,Play Hard Primary School,PASS,F,536.0,OWNED,24.2,32.34,D
T0433983H,Play Hard Primary School,PASS,M,413.0,OWNED,22.53,16.48,E
T0434198I,Play Hard Primary School,EXCEL,M,423.0,OWNED,21.28,60.07,B
T0434672J,Kiasu Parents Primary School,EXCEL,F,589.1208053691275,OWNED,29.98,16.13,E
T0434816J,Play Hard Primary School,PASS,F,471.0,OWNED,15.28,10.26,U
T0435098E,Normal Primary School,PASS,M,544.0,OWNED,22.19,23.07,E
T0435288Z,Play Hard Primary School,PASS,M,0.0,RENTAL,24.4,22.58,E
T0435550C,Normal Primary School,EXCEL,M,232.0,RENTAL,42.09,79.54,A*
T0435772J,Normal Primary School,PASS,F,359.0,OWNED,37.08,55.9,C
T0435788Z,Normal Primary School,PASS,F,371.0,OWNED,9.52,11.96,E
T0436032A,Normal Primary School,PASS,M,776.0,OWNED,37.73,50.43,B
T0436207F,Kiasu Parents Primary School,PASS,M,823.0,OWNED,37.75,25.36,E
T0436284E,Play Hard Primary School,EXCEL,M,233.0,RENTAL,6.88,53.67,B
T0436803E,Normal Primary School,EXCEL,M,310.0,RENTAL,30.19,40.14,D
T0437129C,Normal Primary School,PASS,F,758.0,OWNED,30.46,35.73,C
T0437745I,Normal Primary School,PASS,M,670.0,OWNED,19.05,10.0,U
T0437982Z,Kiasu Parents Primary School,PASS,M,806.0,OWNED,30.35,41.84,D
T0438086Z,Play Hard Primary School,PASS,M,611.0,OWNED,21.95,17.77,U
T0438240G,Play Hard Primary School,PASS,F,448.0,OWNED,17.72,13.96,U
T0438586I,Kiasu Parents Primary School,EXCEL,F,607.0,OWNED,42.14,61.99,B
T0438895A,Normal Primary School,EXCEL,F,447.0,OWNED,20.11,37.52,D
T0439429B,Kiasu Parents Primary School,PASS,M,654.0,OWNED,42.83,48.78,C
T0439539Z,Play Hard Primary School,EXCEL,F,458.0,OWNED,8.75,60.7,B
T0439810G,Normal Primary School,EXCEL,F,985.0,OWNED,15.21,13.81,E
